Job Title,Description,District,Work Mode
Fullstack Developer Senior (.NET/Angular),"ZUTUN. es una empresa de software boutique con amplia experiencia en banca, seguros, fintech y retail. Nuestro colectivo funciona como un verdadero equipo, valorando la colaboración, la sinergia y el apoyo mutuo entre nuestros miembros, reconociendo que el talento es el núcleo y el equipo es quien juega el partido.
Te invitamos a participar de proceso SR. FULLSTACK DEVELOPER y ser parte de esta experiencia:
RESPONSABILIDADES:
Diseñar, desarrollar y mantener aplicaciones web full stack utilizando .NET C#, Angular y Node.js.
.Implementar y consumir servicios web RESTful y SOA.
Desplegar y configurar aplicaciones en IIS (on-premise) y servicios cloud (AWS/Azure).
Participar en la remediación de vulnerabilidades de seguridad en aplicaciones.
Configurar pipelines de CI/CD con GitHub Actions.
Administrar contenedores mediante Docker y Kubernetes.
Colaborar en la mejora continua del código y en la automatización de procesos de desarrollo y despliegue.
Utilizar herramientas de analítica como Google Analytics para monitoreo y mejora de aplicaciones.
Trabajar bajo metodologías ágiles (Scrum/Kanban) en equipos multidisciplinarios.
REQUISITOS:
Experiencia mínima de 4 años como desarrollador(a) .NET C# (nivel avanzado).
Experiencia comprobable en desarrollo con Angular con versiones superiores a 10, Node.js, Material Design, y Bootstrap. Deseable también Next.js.
Dominio en diseño e implementación de APIs RESTful y SOA.
Conocimiento avanzado de bases de datos SQL Server y PostgreSQL.
Experiencia en despliegues en IIS en servidores on-premise.
Conocimientos en AWS y/o Azure (EC2, App Services, Storage, etc.).
Experiencia con Docker (creación y gestión de contenedores) y Kubernetes (orquestación).
Conocimiento y uso de GitHub, así como configuración de GitHub Actions para CI/CD.
Conocimiento en remediación de vulnerabilidades de desarrollo (seguridad de aplicaciones).
Disponibilidad para trabajar de manera Híbrida en la sede del cliente, distrito SURCO.
¿QUE OFRECEMOS?
Oportunidades de aprendizaje, donde tú eres responsable de tu desarrollo.
Trabajo colaborativo en un entorno creativo.
Acceso a herramientas y tecnologías de vanguardia.
Ambiente de trabajo dinámico con enfoque en la mejora continua.
Trabajo en base al sentido común, metas, flexibilidad de horarios y de manera hibrida.
Una organización totalmente horizontal, donde se escuchan tus ideas y opiniones, sin jerarquías ni egos, basado en nuestra cultura C+
✅ Consideraciones: RECIBO POR HONORARIOS, tiempo de contratación: 2 MESES RENOVABLES.
✅ Visita nuestra página WEB: www.zutun.io",Surco,Híbrido
Desarrollador Python Odoo,"🚀 Desarrollador Python Odoo
Modalidad: Presencial
Horario: Lunes a Viernes (9:00 am – 6:00 pm)
🎓 Requisitos académicos
Bachiller o título universitario en Ingeniería de Software, Ciencias de la Computación, Sistemas o afines.
Deseable: certificaciones en Odoo, Python o Cloud.
💻 Conocimientos indispensables
Python avanzado para Odoo (ORM, herencia de modelos, decoradores, contextos).
Framework Odoo (módulos, vistas XML, QWeb, seguridad).
PostgreSQL (optimización y gestión).
APIs REST/XML-RPC, integraciones externas.
Git y metodologías ágiles (Scrum/Kanban).
Frontend básico: XML y JavaScript para personalización de vistas.
⭐ Conocimientos deseables
Librerías de Data Science (Pandas, NumPy).
Frameworks backend: FastAPI, Flask.
Bases de datos NoSQL (MongoDB).
CI/CD y DevOps (Docker, Kubernetes, GitHub Actions).
🏆 Experiencia requerida
+1 año en desarrollo con Python para Odoo.
+2 años en desarrollo de software.
Experiencia en personalización y creación de módulos Odoo.
Integraciones con sistemas de terceros.
Participación en 2 o más proyectos de implementación Odoo.
🔑 Competencias clave
Resolución de problemas complejos de negocio.
Trabajo en equipo y comunicación clara.
Autoaprendizaje y actualización constante en Odoo.
Orientación a resultados y optimización de procesos.
🎁",Lima,Presencial
Software Engineer Senior,"Centro, empresa de Tecnología, perteneciente al Grupo Gloria, como parte de su plan de crecimiento, se encuentra en la búsqueda de los mejores talentos para ocupar la posición de:
Software Engineer Senior
Misión:
Responsable del desarrollo, mantenimiento y soporte a Aplicaciones Web & Mobile tanto a nivel de BackEnd y FrontEnd. Analisis técnico, sinergias con seguridad de la información, Arquitectura e infraestructura y elaborar propuesta de como desarrollar soluciones digitales escalables y robustas. Se debe garantizar la continuidad y persistencia principalmente de la solución de facturación electronica del Grupo, asi como otras soluciones relacionadas.
Funciones:
Desarrollar tanto el BackEnd y FrontEnd de las aplicaciones Web & Mobile.
Diseño y desarrollo de base de datos relacional.
Mantenimiento de Aplicaciones Digitales Lecacys existentes.
Desarrollo sobre Componentes AWS.
Implementación & Despliegue Continuo Basico ( DevOps )
Elaboración de Propuesta Tecnica
Soporte a Incidentes de Aplicaciones Existentes.
Requisitos:
Universitario egresado de la carrera de Ingeniería de Sistemas, Software y/o afines.
Ingles a nivel intermedio.
Metodología ágil Scrum y tradicional
Desarrollo BackEnd ( Java Sprint Boot/Quakus, VB.net, Node Js, TypeScript, JavaScript, Nest Js).
Desarrollo FrontEnd ( React, React Native, Next, TypeScript, StoryBook , React Query )
Base de Datos (SQL Server, PostgresSQL, Aurora DB,MySQL )
Herramientas de Control y versiona miento de código fuente ( BitBucket )
Implementación & Despliegue Continuo DevOps
Desarrollo sobre componentes AWS
Integración con sistemas legales, SAP & Seguridad de la Información.",La Victoria,Presencial
Analista Programador (Java Oracle)- Presencial,"Somos una empresa de Soluciones Digitales y Servicios de TI con 30 años de experiencia en el mercado. Contamos con más de 8 mil colaboradores en Latinoamérica, Estados Unidos y Europa.
Te invitamos a ser parte de nuestro equipo ocupando el cargo de: Analista Programador
Requisitos:
Bachiller o Técnico titulado afines con la informática (Ciencias de la Computación, Sistemas de Información, Ingeniería, entre otros).
Experiencia y formación en desarrollo de software, por ejemplo, C#, C++, Java, .NET, Pyton, PL/SQL
Conocimiento técnico en herramientas de automatización (ejemplo, Blue Prism y UiPath)
Conocimientos básicos de programación en HTML, JavaScript.
Deseables:
Conocimiento en CLOUD Computing
Conocimientos de IA y aprendizaje automático
Certificación Ágil,
PMP u otros",La Victoria,Presencial
Analista Programador / Sector Educativo,"En inLearning Escuelas de Educación superior, plataforma educativa del grupo Intercorp, conformada por Idat, Zegel, la Escuela de Arte Corriente Alterna e Innova Teaching School, empresas que promueven la equidad de género, igualdad e inclusión, nos encontramos en la búsqueda de un(a) Analista Programador Jr.
Propósito:
Analizar, desarrollar y brindar soporte informático para el sistema educativo de la empresa.
Funciones:
Análisis y desarrollo de nuevos requerimientos del ERP Académico.
Mantenimiento y soporte de requerimientos y errores del ERP Académico.
Realizar consultas y actualización de los registros de base de datos de las aplicaciones.
Atender y orientar a los usuarios en el manejo del ERP Académico.
Seguimiento, acompañamiento y validación de pases a producción.
Realizar otras funciones afines y/o complementarias que le asigne su jefe inmediato.
Requisitos:
Formación Superior Técnica o Universitaria completa en Computación, Ingeniería de Sistemas, Informática o afines.
Experiencia mínima de 1 año a más, como programador de aplicaciones Desktop y web, con Base de Datos MSSQL y Microsoft .NET
Conocimientos en Base de Datos MSSQL (de preferencia 2016 en adelante).
Conocimientos en Microsoft .NET 2017 para soluciones web y escritorio
Conocimiento de lenguaje de programación C# y VB.
Manejo de Repositorios versionamiento Git.
Conocimientos en Arquitectura WCF, MVC y Framework .NET
Conocimientos en Diseño de interfaces, interacción y experiencia usuario.
Conocimientos en Excel avanzado y MS PoweBI (deseable)",Cercado De Lima,Híbrido
Programador en Oracle Developer,"Somos líderes en perforación minera y geotécnica en el Perú, con más de 45 años de experiencia acompañando a los grandes proyectos del país. Nuestro motor es la innovación, la seguridad y el compromiso con el medio ambiente, porque sabemos que cada perforación abre también nuevas oportunidades de desarrollo sostenible.
Formar parte de nosotros significa integrarse a un equipo apasionado, que valora el talento, impulsa el crecimiento profesional y cree en el poder del trabajo en equipo. Si buscas un lugar donde tus ideas y esfuerzo generen impacto real en la industria y en tu carrera, ¡aquí es donde comienza tu siguiente desafío!
Descripción del puesto: Programador en Oracle Developer
Nuestro cliente, líder en perforación minera y geotécnica en Perú, se encuentra en la búsqueda de un Programador en Oracle Developer para unirse a nuestro equipo de Tecnología, Sistemas y Telecomunicaciones en Lima, Lima.
El candidato ideal para esta posición deberá contar con experiencia y habilidades avanzadas en el desarrollo de aplicaciones utilizando Oracle Developer, así como sólidos conocimientos en bases de datos Oracle. Será responsable de diseñar, programar y mantener soluciones informáticas basadas en los requerimientos del negocio, colaborando estrechamente con otros equipos de trabajo para garantizar el correcto funcionamiento de los sistemas.
Buscamos a una persona proactiva, con capacidad para trabajar de forma autónoma y en equipo, capaz de resolver problemas de manera eficiente y con un alto nivel de compromiso. La posición requiere una mentalidad analítica y una atención meticulosa a los detalles para garantizar la calidad de las soluciones desarrolladas.
Si eres un profesional graduado con experiencia demostrable en Oracle Developer y estás buscando un nuevo desafío en un entorno dinámico y en constante evolución, ¡esta es tu oportunidad para unirte a nuestro equipo y contribuir al desarrollo sostenible de la industria minera en Perú!

Requisitos:
Experiencia técnica:
Manejo de Oracle Forms y Reports. (INDISPENSABLE)
SQL y PL/SQL en bases de datos Oracle. (INDISPENSABLE)
Conocimiento en modelamiento de datos y tuning de consultas.
Experiencia en migración o mantenimiento de aplicaciones legadas (muchos proyectos con Forms y Reports son de continuidad operativa).
Deseable:
Experiencia en Oracle APEX o integración con web services.
Conocimiento en arquitecturas de aplicaciones Oracle.
Competencias blandas:
Trabajo en equipo y colaboración efectiva.
Adaptabilidad y apertura al cambio, especialmente en contextos que requieren el mantenimiento y optimización de sistemas existentes.
Modalidad: Lunes a viernes de de 7:30 a 4:30 o de 8:30 a 5:30 (posibilidad de asistir sábado o domingo)",Lima,Presencial
Programador BMS o SCADA,"More digital. More human. More Minsait.
Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible.
Buscamos Programador BMS con ganas de trabajar en nuestros equipos multidisciplinares.
¿Qué esperamos por tu parte?
Experiencia mínima de 2 años en sistemas SCADA y/o BMS para control y monitorización de sistemas electromecánicos.
Conocimientos en redes IP y experiencia en sistemas electromecánicos.
Experiencia como programador/desarrollador en alguna de estas herramientas de Schneider Electric: PME (Power Monitoring Expert) PSO (Power SCADA Operation) EBO (EcoStruxure Building Operation) (contar con certificación o curso en alguno de estos lenguajes de programación).
Funciones:
Programación y desarrollo de sistemas SCADA/BMS.
Control y monitoreo de sistemas electromecánicos.
Colaboración con ingenieros y técnicos en sala de control.
Participación en proyectos de automatización de edificios e infraestructura eléctrica.
Modalidad de Trabajo:
100 % Presencial para laborar en Lima, Perú.",Lima,Presencial
Desarrollador Senior AWS - NodeJS,"Métrica Perú es la primera filial latinoamericana del grupo de consultoría español Métrica Consulting. El grupo comenzó operaciones con el inicio del nuevo siglo y desde entonces ha participado en distintos proyectos en distintos países de Europa Occidental y Latino América. Con Métrica Andina, hemos comenzado a ofrecer nuestros servicios técnicos en el mercado Peruano y desde ahí queremos llegar a la región andina en los próximos años.
En Métrica Perú estamos en la búsqueda de un Desarrollador Backend NodeJS Senior para unirse a nuestro equipo en Lima, Perú. Si eres una persona apasionada por la tecnología y la innovación, con experiencia en entornos de desarrollo y operaciones, ¡esta posición es para ti!
Requisitos:
Experiencia +5 años desarrollando en NodeJS.
Experiencia sólida programando en Typescript.
Dominio avanazado con diferentes servicios de AWS (Lambda, API Gateway, EKS, S3, EventBridge, Redis, SQS, Cognito)
Experiencia en orquestación de microservicios con Dockers.
Experiencia con despliegues en Kubernetes (AKS).
Experiencia en CI/CD con Gitlab.
Experiencia con bases de datos PostgreSQL y DynamoDB.
Experiencia escribiendo pruebas unitarias sobre Jest.
Dominio Avanzado con SOLID.
Dominio avanzado con patrones de diseño (Creacionales)
Experiencia avanzada con diferentes arquitecturas, Clean Architecture, Arquitectura Hexagonal.",Lima,Híbrido
Desarrollador .NET Senior,"Somos Fractal Soluciones TI, una empresa peruana de consultoría en Gestión de Tecnología de la Información con más de 11 años en el mercado y con más de 70 clientes que confían en nosotros.
Nos encontramos en búsqueda de un talento para el cargo de Desarrollador .NET Senior para colaborar en modalidad remota en un proyecto de periodo inicial de 3 meses con uno de nuestros clientes del sector bancario.
Requisitos:
Bachiller universitario en Ingeniería Informática o afines
3-5 años de experiencia como desarrollador
Dominio Avanzado .NET
Dominio Avanzado en bases de dato SQL
Sólidos conocimientos en inteligencia de negocio (BI)",Lima,Remoto
Desarrollador Backend,"En Experis Perú buscamos al mejor talento para sumarse a los desafíos de la era digital y llevar su carrera a un siguiente nivel. Por ello, te invitamos a que formes parte del reto como Analista de Software de Integración y Soluciones Digitales para una importante empresa del sector.
Funciones:
Desarrollar, implementar y dar soporte a las aplicaciones o sistemas asignados a su cargo.
Contribuir con la labor de soporte de terceros proveedores de sistemas a cargo del área.
Contribuir con el equipo de Calidad en la preparación de los scripts y pruebas unitarias de los productos desarrollados antes de su pase a certificación.
Coordinar con las áreas correspondientes las pruebas, certificaciones y puesta en producción de los programas y aplicativos a su cargo.
Garantizar la integridad y confidencialidad del contenido y situación de los programas que le sean asignados para su modificación o revisión.
Actualizar la documentación de los cambios que se efectúen en el software de los aplicativos a su cargo.
Atender las incidencias reportadas por las áreas internas de la empresa.
Requisitos:
Técnico/Profesional egresado/a de Ingeniería de Sistemas, Software o carreras afines.
3 años de experiencia mín. en el rol o similares.
Desarrollo en Java con Spring/Spring Boot - Intermedio / Avanzado.
Bases de datos y SQL: MySQL, Oracle - Intermedio
Sistemas operativos Linux comandos de terminal/script bash - Básico / Intermedio
Control de versiones con Git, github o bitbucket (deseable).
Lenguajes de programación Go, Python, C/C++ (deseable).",Miraflores,Híbrido
Desarrollador Full Stack,"¡Hola talentos!
Somos un holding empresarial destacado en el sector salud en Perú, ofrecemos servicios médicos de excelencia con soluciones innovadoras y tecnología avanzada. Con una amplia red de centros médicos y una sólida presencia en el mercado, nos destacamos por nuestra inclusión y mejora continua.
¡Forma parte de nuestro gran equipo y transforma el cuidado de la salud en el país como Desarrollador Full Stack!
Requisitos:
Egresados de la carrera de Ing. De Sistemas, Informática y/o afines.
Experiencia en lenguajes de programación Python, Angular ( 1 0 o superior), Java,
Conocimiento de Ajax, JSON y el modelo API REST (Deseable)
Conocimiento de Operaciones Cloud: AWS (Deseable)
Conocimientos en modelamiento y administración de base de datos (MySql, Mariadb, Postgres): Implementación de procedimientos, scripts y funciones eficientes para la distribución de datos, capacidad de documentación y estructuración de soporte robusto. (Indispensable).
¿Cuáles serán tus retos?
Desarrollo de aplicaciones utilizando estructuras y arquitecturas de desarrollo back-end/front-end.
Integración con servicios externos.
Configuración de seguridad y prevención de ataques
Construir estructuras o arquitectura en BBDD para garantizar la distribución de datos adecuada y fiable a las distintas plataformas según requerimiento.
Implementar algoritmos optimizados y resolver problemas relacionados con el sistema.
Razones para unirte a nuestro equipo:
Agradable ambiente laboral.",Miraflores,Presencial
Desarrollador Backend NodeJS / AWS,"Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible.
Buscamos un Desarrolladores Backend NodeJS / AWS con ganas de trabajar en nuestros equipos multidisciplinares.
Requisitos:
Experiencia minima de 3 años a más como Backend.
Experiencia minima de 3 años en Nodejs.
Experiencia minima de 2 años en AWS con Lambda, CloudWatch, API Gateway, etc.
Conocimiento y experiencia en TypeScript.
Conocimiento y experiencia en Serverless.
Condiciones de trabajo:
Modalidad Híbrida (3 veces por semana en oficinas) en el distrito de San Isidro.
Horario de trabajo de Lunes a Viernes de 9:00am a 6:30pm.",San Isidro,Híbrido
